bigger_bare_loss,bigger_bare_accuracy,bigger_bare_val_loss,bigger_bare_val_accuracy,bigger_loss,bigger_accuracy,bigger_val_loss,bigger_val_accuracy,dropout_bigger_loss,dropout_bigger_accuracy,dropout_bigger_val_loss,dropout_bigger_val_accuracy,epoch
0.6435948014259338,0.6250125169754028,0.55301433801651,0.722599983215332,0.6892911791801453,0.5544926524162292,0.6790059804916382,0.5465999841690063,0.7263737320899963,0.5092657804489136,0.6827827095985413,0.5622000098228455,1
0.4930817186832428,0.7619261741638184,0.45945918560028076,0.7833999991416931,0.6404435038566589,0.6299208402633667,0.587486743927002,0.6944000124931335,0.6796299815177917,0.5729239583015442,0.672563374042511,0.5857999920845032,2
0.4010887145996094,0.8206820487976074,0.42021727561950684,0.8100000023841858,0.5698172450065613,0.7048982977867126,0.4954698383808136,0.7684000134468079,0.6695951819419861,0.594761073589325,0.6486058831214905,0.6191999912261963,3
0.32179075479507446,0.8601860404014587,0.4103895425796509,0.8285999894142151,0.5432668328285217,0.7236301898956299,0.4957436919212341,0.7634000182151794,0.6505429148674011,0.6139436960220337,0.6077708601951599,0.6728000044822693,4
0.22561118006706238,0.9073907136917114,0.42908740043640137,0.8208000063896179,0.5148057341575623,0.7457678318023682,0.4457762837409973,0.7878000140190125,0.6199632287025452,0.6549133658409119,0.5663453936576843,0.7134000062942505,5
0.12664085626602173,0.9509450793266296,0.5172326564788818,0.8208000063896179,0.5002790689468384,0.7554843425750732,0.4692342877388,0.772599995136261,0.5961312651634216,0.6771010756492615,0.5385376811027527,0.7261999845504761,6
0.06142238527536392,0.9787978529930115,0.6210476756095886,0.8163999915122986,0.4751125276088714,0.776920735836029,0.4178130328655243,0.8087999820709229,0.5757161378860474,0.6977361440658569,0.5194992423057556,0.7462000250816345,7
0.04388304799795151,0.9856485724449158,0.853646457195282,0.8105999827384949,0.4539768993854522,0.7857858538627625,0.3764666616916656,0.8342000246047974,0.5580223798751831,0.7125112414360046,0.5055856108665466,0.7508000135421753,8
0.033918898552656174,0.9888988733291626,0.9193304777145386,0.8108000159263611,0.4254553020000458,0.8004106879234314,0.3402274549007416,0.853600025177002,0.5479085445404053,0.7193729281425476,0.5291908979415894,0.7315999865531921,9
0.02045920491218567,0.9941993951797485,0.9892386794090271,0.8194000124931335,0.4127345085144043,0.811028778553009,0.3576873540878296,0.8434000015258789,0.5361016988754272,0.7293398976325989,0.4778737723827362,0.7775999903678894,10
