simple_loss,simple_accuracy,simple_val_loss,simple_val_accuracy,two_layers_loss,two_layers_accuracy,two_layers_val_loss,two_layers_val_accuracy,bigger_loss,bigger_accuracy,bigger_val_loss,bigger_val_accuracy
0.8053802251815796,0.6108384132385254,0.6224525570869446,0.6603999733924866,0.7918524146080017,0.4957427680492401,0.693132221698761,0.503000020980835,0.7263737320899963,0.5092657804489136,0.6827827095985413,0.5622000098228455
0.6398230791091919,0.6451968550682068,0.6051506996154785,0.6765999794006348,0.6907559037208557,0.5210357904434204,0.6865435838699341,0.5504000186920166,0.6796299815177917,0.5729239583015442,0.672563374042511,0.5857999920845032
0.6218044757843018,0.6572673320770264,0.5925346612930298,0.6973999738693237,0.6823244094848633,0.5645096898078918,0.679490327835083,0.5691999793052673,0.6695951819419861,0.594761073589325,0.6486058831214905,0.6191999912261963
0.6186462044715881,0.659120500087738,0.6129516959190369,0.6668000221252441,0.6685377955436707,0.5961634516716003,0.6475940346717834,0.6340000033378601,0.6505429148674011,0.6139436960220337,0.6077708601951599,0.6728000044822693
0.6106417775154114,0.6695883274078369,0.5457764863967896,0.730400025844574,0.6338090300559998,0.6486527323722839,0.5814543962478638,0.7111999988555908,0.6199632287025452,0.6549133658409119,0.5663453936576843,0.7134000062942505
0.6058716177940369,0.6696383953094482,0.547125518321991,0.7283999919891357,0.6028083562850952,0.6795552372932434,0.5408281087875366,0.7336000204086304,0.5961312651634216,0.6771010756492615,0.5385376811027527,0.7261999845504761
0.6056527495384216,0.6760993599891663,0.5486879944801331,0.7361999750137329,0.5895630121231079,0.6887208223342896,0.5422095060348511,0.722599983215332,0.5757161378860474,0.6977361440658569,0.5194992423057556,0.7462000250816345
0.597371518611908,0.6775518655776978,0.5451558828353882,0.7324000000953674,0.5716273784637451,0.7038465142250061,0.519605278968811,0.7495999932289124,0.5580223798751831,0.7125112414360046,0.5055856108665466,0.7508000135421753
0.5972591638565063,0.6842632293701172,0.5704517364501953,0.7116000056266785,0.5649745464324951,0.7115596532821655,0.5077556371688843,0.7609999775886536,0.5479085445404053,0.7193729281425476,0.5291908979415894,0.7315999865531921
0.5899837613105774,0.6882199645042419,0.5465646982192993,0.7450000047683716,0.5553604960441589,0.7190223336219788,0.5043904781341553,0.7667999863624573,0.5361016988754272,0.7293398976325989,0.4778737723827362,0.7775999903678894
